name	country	lat	lon	timezone
Benguela	AO	-12.57674	13.40268	Africa/Luanda
Balombo	AO	-12.35426	14.77232	Africa/Luanda
Baía Farta	AO	-12.60417	13.19667	Africa/Luanda
Andulo	AO	-11.48676	16.69663	Africa/Luanda
Cambundi	AO	-7.46856	17.03769	Africa/Luanda
Kikolo	AO	-8.7815	13.33384	Africa/Luanda
Cafunfo	AO	-8.7672	17.99572	Africa/Luanda
Santa Clara	AO	-10.19156	15.43408	Africa/Luanda
Quissecula	AO	-11.39223	15.09201	Africa/Luanda
Cambundi	AO	-10.89481	17.76402	Africa/Luanda
Mulenvos	AO	-8.86695	13.3344	Africa/Luanda
Kilamba	AO	-8.84861	13.275	Africa/Luanda
Ingombota	AO	-8.81806	13.22889	Africa/Luanda
Nova Vida	AO	-8.90552	13.22213	Africa/Luanda
Zango	AO	-9.01212	13.38437	Africa/Luanda
Vila Flor	AO	-8.98007	13.30781	Africa/Luanda
Rangel	AO	-8.82644	13.26285	Africa/Luanda
Samba	AO	-8.88001	13.19617	Africa/Luanda
Sambizanga	AO	-8.78883	13.27506	Africa/Luanda
Navegantes	AO	-12.58997	13.39123	Africa/Luanda
Kima Kieza	AO	-8.83411	13.29517	Africa/Luanda
Panguíla	AO	-8.69335	13.44914	Africa/Luanda
Ramiros	AO	-9.06259	13.0456	Africa/Luanda
Hoji ya Henda	AO	-8.80523	13.2897	Africa/Luanda
Zárate	AR	-34.09584	-59.02423	America/Argentina/Buenos_Aires
Colonia Wanda	AR	-25.97337	-54.56304	America/Argentina/Cordoba
Villa Ortúzar	AR	-34.57973	-58.46829	America/Argentina/Buenos_Aires
Villa Ocampo	AR	-28.48726	-59.35421	America/Argentina/Cordoba
Villa Lugano	AR	-34.67907	-58.47263	America/Argentina/Buenos_Aires
Villaguay	AR	-31.86767	-59.02701	America/Argentina/Cordoba
Villa Gesell	AR	-37.26394	-56.97304	America/Argentina/Buenos_Aires
Villa de Mayo	AR	-34.5108	-58.68059	America/Argentina/Buenos_Aires
Valentín Alsina	AR	-34.67137	-58.40904	America/Argentina/Buenos_Aires
Tristán Suárez	AR	-34.88982	-58.56761	America/Argentina/Buenos_Aires
Tortuguitas	AR	-34.47513	-58.75367	America/Argentina/Buenos_Aires
Tigre	AR	-34.42603	-58.57962	America/Argentina/Buenos_Aires
Tandil	AR	-37.3287	-59.1369	America/Argentina/Buenos_Aires
Sarandí	AR	-34.68161	-58.34639	America/Argentina/Buenos_Aires
San Vicente	AR	-35.0249	-58.42409	America/Argentina/Buenos_Aires
San Vicente	AR	-26.61667	-54.13333	America/Argentina/Cordoba
Santo Tomé	AR	-28.55104	-56.04125	America/Argentina/Cordoba
Santos Lugares	AR	-34.60306	-58.54074	America/Argentina/Buenos_Aires
Santa Teresita	AR	-36.54059	-56.69294	America/Argentina/Buenos_Aires
Santa Elena	AR	-30.94432	-59.78832	America/Argentina/Cordoba
Santa Clara del Mar	AR	-37.83438	-57.50749	America/Argentina/Buenos_Aires
San Pedro	AR	-33.67918	-59.66633	America/Argentina/Buenos_Aires
San Pedro	AR	-26.6218	-54.10902	America/Argentina/Cordoba
San Miguel del Monte	AR	-35.43922	-58.80741	America/Argentina/Buenos_Aires
San Luis del Palmar	AR	-27.50766	-58.55625	America/Argentina/Cordoba
San Lorenzo	AR	-28.13442	-58.76685	America/Argentina/Cordoba
San Justo	AR	-34.68107	-58.56379	America/Argentina/Buenos_Aires
San Javier	AR	-30.58072	-59.92962	America/Argentina/Cordoba
San Isidro	AR	-34.46971	-58.52111	America/Argentina/Buenos_Aires
San Antonio de Padua	AR	-34.66267	-58.69819	America/Argentina/Buenos_Aires
San Antonio de Areco	AR	-34.25083	-59.46944	America/Argentina/Buenos_Aires
Saladillo	AR	-35.63884	-59.77938	America/Argentina/Buenos_Aires
Saladas	AR	-28.25504	-58.62386	America/Argentina/Cordoba
Retiro	AR	-34.58333	-58.38333	America/Argentina/Buenos_Aires
Resistencia	AR	-27.46363	-58.98665	America/Argentina/Cordoba
Remedios de Escalada de San Martín	AR	-34.72589	-58.39663	America/Argentina/Buenos_Aires
Reconquista	AR	-29.15	-59.65	America/Argentina/Cordoba
Quilmes	AR	-34.72065	-58.25454	America/Argentina/Buenos_Aires
Puerto Rico	AR	-26.8089	-55.02147	America/Argentina/Cordoba
Puerto Iguazú	AR	-25.59912	-54.57355	America/Argentina/Cordoba
Puerto Esperanza	AR	-26.02267	-54.61356	America/Argentina/Cordoba
Posadas	AR	-27.39184	-55.92379	America/Argentina/Cordoba
Pontevedra	AR	-34.74947	-58.70158	America/Argentina/Buenos_Aires
Pirané	AR	-25.73271	-59.10989	America/Argentina/Cordoba
Pinamar	AR	-37.11108	-56.86523	America/Argentina/Buenos_Aires
